Action,Source,Target
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3008 - Borya.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2b_SW_20250930_170731.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3011.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_085758.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3012.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_093703.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3013.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_093708.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3014.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_093720.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3015.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_101626.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3016.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_101629.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3017.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_NE_20251001_101723.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3018.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_103548.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3019.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_103551.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3020 - probs Dampiera linearis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_134528.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3021 - probs Dampiera linearis.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_134534.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3022.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_134833.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3023.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_134841.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3024.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_134845.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3025.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_134848.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3026.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_143306.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3027.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_143314.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3028.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_143545.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3029.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_143549.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3030.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_143552.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3031.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_144641.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3032.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_144649.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3033.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_144652.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3034.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_151111.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3035.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_151115.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3036.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_151118.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3037.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_151134.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3038.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_152058.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3039.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SW_20251001_152102.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3040.jpg,C:\FHMP\Photo_locations\phone_flora\temp\WND2a_SE_20251001_160250.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3058.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JSE7a_NE_20251006_151446.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3059.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JSE7a_NE_20251006_151451.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3060.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JSE7a_NE_20251006_151454.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3064.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3c_NW_20251009_163920.jpg
RENAME,C:\FHMP\Photo_locations\phone_flora\temp\IMG_3065.jpg,C:\FHMP\Photo_locations\phone_flora\temp\JNW3c_NW_20251009_170854.jpg
