filename,local directory,Online Location,longitude,latitude,date,,RawGithub
JBW3b_NW_20250527_082607,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW3b_NW_20250527_082607.jpg,115.5183361,-33.96313069,27-May-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW3b_SE_20250527_130617,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW3b_SE_20250527_130617.jpg,115.5193439,-33.96407889,27-May-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW3b_SW_20250527_102407,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW3b_SW_20250527_102407.jpg,115.518283,-33.964026,27-May-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW3c_NE_20250528_152040,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW3c_NE_20250528_152040.jpg,115.48673280555556,-34.006368,28-May-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW3c_NW_20250529_084515,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW3c_NW_20250529_084515.jpg,115.48561360000001,-34.00634461,29-May-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW3c_SE_20250528_141730,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW3c_SE_20250528_141730.jpg,115.48672,-34.00723511,28-May-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW3c_SW_20250529_101218,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW3c_SW_20250529_101218.jpg,115.4856237,-34.00721219,29-May-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4a_NE_20251016_151358,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4a_NE_20251016_151358.jpg,115.2939376111111,-33.88184711,16-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4a_NE_20251016_151512,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4a_NE_20251016_151512.jpg,115.29419438888888,-33.88187781,16-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
JBW4a_NE_20251016_151519,C:\FHMP\Interactive_map\photos\2025,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/JBW4a_NE_20251016_151519.jpg,115.29419438888888,-33.88187781,16-Oct-2025,,https://raw.githubusercontent.com/wesswesswesswess/FHMP_Interactive_Map/master/photos/2025/
